valid_time,latitude,longitude,number,expver,t2m,sp,crr,lsrr,ptype,u100,v100,cbh
2000-06-03,25.74,80.18,0,0001,305.39453,98472.625,0.0,0.0,0.0,-6.9436636,0.32824612,2513.518
2000-06-04,25.74,80.18,0,0001,302.35645,98504.25,0.0,0.0,0.0,-5.3510237,-1.0799084,
2000-06-05,25.74,80.18,0,0001,302.5371,98526.81,6.645193e-06,0.0,1.0,-2.8700104,-5.6197834,1696.5813
2000-06-06,25.74,80.18,0,0001,301.9143,98320.125,0.0,0.0,0.0,-7.326333,-1.5658417,2627.3594
2000-06-07,25.74,80.18,0,0001,299.54395,97996.69,7.4714235e-06,0.0010931727,1.0,-12.736616,1.315136,60.705154
2000-06-08,25.74,80.18,0,0001,299.81616,98249.69,0.00063432707,0.00014951755,1.0,0.47476745,7.8408537,734.3638
2000-06-09,25.74,80.18,0,0001,300.16724,98628.31,1.7158061e-05,7.677021e-07,1.0,-1.4315786,2.8608446,1296.9319
2000-06-10,25.74,80.18,0,0001,300.66968,98526.625,0.0,0.0,0.0,-0.50403905,-2.7331104,5770.7305
2000-06-11,25.74,80.18,0,0001,300.95166,98485.5,0.0,0.0,0.0,-0.22364408,3.125657,4272.551
2000-06-12,25.74,80.18,0,0001,302.8308,98502.94,0.0,0.0,0.0,2.898119,-1.6666088,2576.629
2000-06-13,25.74,80.18,0,0001,303.1089,98454.44,3.151207e-05,0.0,0.0,5.602545,-1.1458817,1918.6099
2000-06-14,25.74,80.18,0,0001,302.45874,98451.06,8.311979e-06,0.0,0.0,4.252599,2.8877487,2447.9243
2000-06-15,25.74,80.18,0,0001,305.95557,98292.44,0.0,0.0,0.0,8.996097,1.8958206,2592.3574
2000-06-16,25.74,80.18,0,0001,303.01782,98354.25,0.0,0.0,0.0,3.019497,2.7476416,2344.766
2000-06-17,25.74,80.18,0,0001,301.01172,98452.94,1.5803278e-05,2.313267e-05,1.0,-3.5916357,1.0065098,1870.5103
2000-06-18,25.74,80.18,0,0001,301.3142,98389.375,0.0,0.0,0.0,-2.8442059,0.6790352,4266.3906
2000-06-19,25.74,80.18,0,0001,301.06177,98462.81,0.0,0.0,0.0,-4.853533,0.09095836,2770.1104
2000-06-20,25.74,80.18,0,0001,299.43433,98440.875,1.2721054e-05,2.9380535e-05,1.0,-4.911193,-2.9108381,179.66457
2000-06-21,25.74,80.18,0,0001,299.6687,98433.25,5.799223e-06,1.6207787e-07,1.0,0.8174463,-2.9925604,209.02783
2000-06-22,25.74,80.18,0,0001,299.9192,98421.19,0.0,5.2941323e-06,1.0,-0.5836497,3.0432768,1159.6519
2000-06-23,25.74,80.18,0,0001,301.4436,98519.81,0.0,0.0,0.0,5.297224,-0.122991264,2720.8564
2000-06-24,25.74,80.18,0,0001,303.51343,98400.31,0.0,0.0,0.0,6.666518,4.521473,2380.2024
2000-06-25,25.74,80.18,0,0001,303.78442,98199.06,0.0,0.0,0.0,9.444706,2.257742,3721.5073
2000-06-26,25.74,80.18,0,0001,304.54297,98277.25,0.0,0.0,0.0,8.525777,0.6614758,3959.742
2000-06-27,25.74,80.18,0,0001,304.2019,98397.81,0.0,0.0,0.0,6.545128,0.3659668,2722.7568
2000-06-28,25.74,80.18,0,0001,301.39697,98584.625,0.0,0.0,0.0,-5.208953,-0.501104,3416.577
2000-06-29,25.74,80.18,0,0001,301.88867,98625.125,0.0,8.1038934e-08,1.0,-2.338048,0.16597718,299.73706
2000-06-30,25.74,80.18,0,0001,302.62646,98483.69,0.0,0.0,0.0,-5.2710295,0.3670519,948.5344
2000-07-01,25.74,80.18,0,0001,302.88428,98502.875,0.0,0.0,1.0,-5.0778427,1.4252357,1118.3706
2000-07-02,25.74,80.18,0,0001,302.20728,98485.19,0.0,5.2933376e-07,1.0,1.3148346,2.5226583,2905.1572
2000-07-03,25.74,80.18,0,0001,300.38867,98605.625,0.00027197716,1.710355e-05,1.0,-2.2379837,-0.34863108,807.01807
2000-07-04,25.74,80.18,0,0001,300.95605,98580.56,7.0768656e-06,6.3140087e-06,1.0,0.81726867,1.8548899,3751.499
2000-07-05,25.74,80.18,0,0001,304.12646,98520.75,0.0,0.0,0.0,3.0127764,4.254779,1854.9553
2000-07-06,25.74,80.18,0,0001,303.9978,98314.06,1.2403234e-06,0.0,0.0,5.2683764,1.5100708,1886.5803
2000-07-07,25.74,80.18,0,0001,300.7373,98412.19,8.319071e-05,1.0748522e-05,1.0,4.01947,0.91121763,320.37134
2000-07-08,25.74,80.18,0,0001,299.49805,98452.69,0.00023274659,1.3001691e-05,1.0,1.1387758,0.8410801,171.71294
2000-07-09,25.74,80.18,0,0001,300.98877,98253.375,0.0003387304,4.6711764e-05,1.0,1.7692938,0.32244813,407.8916
2000-07-10,25.74,80.18,0,0001,299.7766,98058.44,6.512898e-07,2.3698929e-05,1.0,6.768751,1.3613148,1626.0251
2000-07-11,25.74,80.18,0,0001,299.7395,98140.94,2.787463e-05,0.000211447,1.0,2.3353376,-3.0504932,154.71272
2000-07-12,25.74,80.18,0,0001,299.46777,98169.75,1.37293355e-05,5.095746e-06,1.0,-3.8582706,0.00059382105,515.67456
2000-07-13,25.74,80.18,0,0001,300.40967,98064.0,2.431168e-07,0.0,1.0,-6.7991724,-1.2044535,493.59375
2000-07-14,25.74,80.18,0,0001,300.427,98163.94,0.0,7.6340655e-08,1.0,-5.819603,1.125598,483.14453
2000-07-15,25.74,80.18,0,0001,300.48926,98210.31,2.396782e-05,2.0407733e-06,1.0,5.1148806,2.504878,787.39795
2000-07-16,25.74,80.18,0,0001,300.58057,98218.375,0.0,1.6207787e-07,1.0,3.4545193,2.9231958,913.0364
